sample_id,sample_name,group,light_intensity,temperature,absorption,light_intensity_group,temperature_group,Sequencing,replicate,PCA_gorup,FvFm,DEG_group,biolrep,FvFM_1,FvFm_measure,,Mesotaenium_endlicherianum
BR_1_25,LightIntensity531.9_Temprature24.5_rep1_TechRep2,LightIntensity531.9_Temprature24.5,531.9,24.5,0.25,527.89,23.69,B,1t,HL,0.093166667,HLI_MT,22,Treatment,0.045,,
BR_1_31,LightIntensity536.2_Temprature27.3_rep1_TechRep2,LightIntensity536.2_Temprature27.3,536.2,27.3,0.225,527.89,26.57,B,1t,heat_HL,0,HLI_HT,28,Treatment,0,,
BR_1_35,LightIntensity38.6_Temprature26.1_rep1_TechRep2,LightIntensity38.6_Temprature26.1,38.6,26.1,0.405,39.2,26.57,B,1t,Steady_state,0.67475,LLI_HT,32,Treatment,0.651,,
BR_1_8,LightIntensity335.8_Temprature13.1_rep1_TechRep2,LightIntensity335.8_Temprature13.1,335.8,13.1,0.268,329.83,12.72,B,1t,HL,0,HLI_LT,5,Treatment,0,,
BR_2_13,LightIntensity505.5_Temprature17.6_rep2_TechRep2,LightIntensity505.5_Temprature17.6,505.5,17.6,0.356,527.89,17.07,B,2t,HL,0,HLI_MT,48,Treatment,0,,
BR_2_19,LightIntensity534.7_Temprature21.5_rep2_TechRep2,LightIntensity534.7_Temprature21.5,534.7,21.5,0.268,527.89,20.63,B,2t,HL,0,HLI_MT,54,Treatment,0.042,,
BR_2_25,LightIntensity531.9_Temprature24.5_rep2_TechRep2,LightIntensity531.9_Temprature24.5,531.9,24.5,0.254,527.89,23.69,B,2t,HL,0.012833333,HLI_MT,60,Treatment,0.045,,
BR_2_8,LightIntensity335.8_Temprature13.1_rep2_TechRep2,LightIntensity335.8_Temprature13.1,335.8,13.1,0.312,329.83,12.72,B,2t,HL,0,HLI_LT,43,Treatment,0,,
BR_3_13,LightIntensity505.5_Temprature17.6_rep3_TechRep2,LightIntensity505.5_Temprature17.6,505.5,17.6,0.333,527.89,17.07,B,3t,HL,0,HLI_MT,86,Treatment,0,,
BR_3_19,LightIntensity534.7_Temprature21.5_rep3_TechRep2,LightIntensity534.7_Temprature21.5,534.7,21.5,0.312,527.89,20.63,B,3t,HL,0.048333333,HLI_MT,92,Treatment,0.042,,
BR_3_25,LightIntensity531.9_Temprature24.5_rep3_TechRep2,LightIntensity531.9_Temprature24.5,531.9,24.5,0.276,527.89,23.69,B,3t,HL,0.029416667,HLI_MT,98,Treatment,0.045,,
BR_3_31,LightIntensity536.2_Temprature27.3_rep3_TechRep2,LightIntensity536.2_Temprature27.3,536.2,27.3,0.323,527.89,26.57,B,3t,heat_HL,0,HLI_HT,104,Treatment,0,,
BR_3_35,LightIntensity38.6_Temprature26.1_rep3_TechRep2,LightIntensity38.6_Temprature26.1,38.6,26.1,0.405,39.2,26.57,B,3t,Steady_state,0.650833333,LLI_HT,108,Treatment,0.651,,
BR_3_8,LightIntensity335.8_Temprature13.1_rep3_TechRep2,LightIntensity335.8_Temprature13.1,335.8,13.1,0.315,329.83,12.72,B,3t,HL,0,HLI_LT,81,Treatment,0,,
re_B_1_34,LightIntensity71.2_Temprature26.3_rep1_AnotherMethod,LightIntensity71.2_Temprature26.3,71.2,26.3,0.422,71.93,26.57,C,1n,Steady_state,0.644416667,MLI_HT,31,Treatment,0.622,,
